name,type,specialty,city,state,country,address,phone,lat,lon,rating,website
Apollo Hospital,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"Parsik Hill Road, Sector 23, CBD Belapur, Navi Mumbai",+91-22-39267700,19.0176,73.0322,4.5,https://www.apollohospitals.com
Jaslok Hospital,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"15, Dr. Deshmukh Marg, Peddar Road, Mumbai",+91-22-66573333,18.9648,72.8081,4.4,https://www.jaslokhospital.net
Lilavati Hospital,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"A-791, Bandra Reclamation, Bandra West, Mumbai",+91-22-26567891,19.0544,72.8258,4.6,https://www.lilavatihospital.com
Kokilaben Dhirubhai Ambani Hospital,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"Rao Saheb Achutrao Patwardhan Marg, Four Bungalows, Andheri West, Mumbai",+91-22-30999999,19.1258,72.8314,4.7,https://www.kokilabenhospital.com
Fortis Hospital Mulund,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"Mulund Goregaon Link Road, Mulund West, Mumbai",+91-22-67914444,19.1722,72.9561,4.3,https://www.fortishealthcare.com
Dr. Shashank Shah,Clinic,Endocrinologist,Mumbai,Maharashtra,India,"Breach Candy Hospital, 60A, Bhulabhai Desai Road, Mumbai",+91-22-23667788,18.9737,72.8011,4.8,N/A
Dr. Pradeep Gadge,Clinic,Diabetologist,Mumbai,Maharashtra,India,"Gadge Diabetes Centre, Tilak Road, Ghatkopar East, Mumbai",+91-22-25011749,19.0863,72.9081,4.7,https://www.gadgediabetescentre.com
Dr. Jothydev Kesavadev,Clinic,Endocrinologist,Mumbai,Maharashtra,India,"Jothydev's Diabetes Research Centre, Parel, Mumbai",+91-22-24157000,19.0030,72.8397,4.6,N/A
Hinduja Hospital,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"Veer Savarkar Marg, Mahim, Mumbai",+91-22-24447000,19.0380,72.8396,4.5,https://www.hindujahosp.com
Breach Candy Hospital,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"60-A, Bhulabhai Desai Road, Mumbai",+91-22-23667788,18.9737,72.8011,4.4,https://www.breachcandyhospital.org
Nanavati Super Speciality Hospital,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"S.V. Road, Vile Parle West, Mumbai",+91-22-26266888,19.1015,72.8347,4.6,https://www.nanavati.com
Bombay Hospital,Hospital,Multi-Specialty,Mumbai,Maharashtra,India,"12, New Marine Lines, Mumbai",+91-22-22067676,18.9482,72.8254,4.3,https://www.bombayhospital.com
